review_text,age_range
absolutely amazing product!!\ni am very very picky about scents being susceptible to strong smells due to migraines...this product DOES IS NOT SMELLY AT ALL as stated in some reviews it smells so amazing and is so luxurious!!  also i have read some that say it has... sparkles??? nope!! ZERO SPARKLES! just did a flashlight test with my husband! this is probably the best product i have used in 20 years! the small is to die for! the moisturizer itself has significantly improved my skins softness and reduced cellulite and scars ect. i highly recommend this to anyone who wants to be blown away by this company and need some areas of your body corrected in my late 30s and i am sticking by this product 100%,2
Absolutely awesome! You get the mascara free so you can't go wrong! Love this eyelash curler! I highly recommend this if you curl your lashes as you won't be dissappointed. It's ergonomically universal!!,3
"Absolutely beautiful bronzer. I waffeled between purchasing this (Nars, Aucoin etc.) After testing the others while pretty..Hourglass won! Perfect for my fair skin all yearlong and looks great after I get a little sunshine. I find its perfect in Summer without blush during the day. I do apply Hourglass blush in the evening for a little more oomph. Great purchase, Fair price point considering the amount of product.  Whatever shade suits you Hourglass does not disappoint..",4
"Absolutely love it. It's one of the best cleansers ever and I've tried a lot. It cleanses deeply, but gently, removes all impurities and helps to heal/prevent acne and blemishes. It's a game changer for me. Gonna stick to it",4
Absolutely love these shadows!! Love Steel the Show!! I have green eyes and this color makes them pop! I love the texture its like silk!! Going to get a few more!! Thank you Taste and Sephora!! Please make more colors!!,3
Absolutely love this beauty! It’s such a great range of shades and the perfect size for travel! These are my personal favorite range of shades so I’m loving the color choices. The colors apply well and stay pigmented throughout the day.,0
"Absolutely love this eye cream. I have very dry, crepey under eyes and have tried numerous lower cost eye creams, serums, oils, etc. I keep coming back to this one because it works the best to combat the dryness.",2
Absolutely love this foundation! It is my go to foundation when I need to cover up acne or anything else going on with my skin. It is very lightweight and with the right primer and beauty blender you can make the foundation almost invisible on the skin.,0
Absolutely love this mascara when it’s paired with the Velvet Noir Primer! It makes your lashes look super long and adds a ton of volume. It looks like you have falsies without the hassel of the glue and worrying about them falling off.,0
"Absolutely love this masque. Got it as a substitute for the Salicylic acid... I wouldnt say there's a comparison? They both work well. However, the charcoal in this also gives you that charcoal cleansing effect.. which I personally love. Great gift for the price or even your own use! But then again, I love almost all 'The Ordinary' products as they are definitely worth their price.",1
"absolutely LOVE this palette. i have rosacea, so finding rosy tones that still compliment my skin tone can be difficult, but not with this one. absolutely in love. they are still really neutral, but have the perfect pop of color. the shadows are creamy and glide on beautifully. The palette itself is also impressive - structurally great with a beautiful and late mirror. highly recommend!",0
"Absolutely love this product!! Bravo to Smashbox!! This took my oh so dried lips back to normal in a night. Love the texture, it's not sticky if anything you can use it your cuticles! Love this magic potion!!",3
Absolutely love this roller. So much weightier and sturdy than some of the less expensive jade rollers I’ve tried. No squeaks on this one. I use it daily to help my products to penetrate the skin and for lymphatic massage. Really helps my jaw area which feels the stress from grinding my teeth. So anytime I need a little stress relief this roller really helps. Cool to the touch but the fridge intensifies the experience. Of course the color was the first thing to attract my attention.,3
"Absolutely love this set, I've tried a few things from Milk and really liked them so this was a perfect opportunity to really put them to the test. The price is not bad compared to what you get, with a full sized lip and check oil (which I'm obsessed with atm) and 6 mini products. The only thing that I'm not huge on is the highlight, I find it really sparkly but that's more of a personal preference. Overall really happy with this purchase",0
"Absolutely love this. The products are a nice size. Fair warning though, the toner stings. I only use it 2-3x/week. I found that's enough. Follow it up with the serum (it feels nice and bubbly on your skin) then the H20 moisturizer.",4
"Absolutely loving this palette! If your skintone is more on the fair side and you're not a fan of bolder looks, you might want to skip out because this palette. But I'm more into looks that are darker with several types of shimmers, and this palette delivers exactly that for me.",4
"Absolutely outstanding! The best lipstick I have ever used and the colours are beautiful. It goes on so smoothly and so pigmented and it's long-lasting and hydrating. Look no further, this beats Tom Ford, YSL, Chanel, MAC, etc.",1
Absolutely perfect for dry skin! I’ve tried so many products that don’t hold up all day long to combat my dry skin but this is absolutely perfect! I have sensitive dry skin and typically get breakouts if its too heavy but this is light and so refreshing for my skin!,0
"Absolutely perfect mascara for me. I have thin, short lashes and hooded eyelids. I also VERY dry, sensitive eyes, and have had my tear ducts plugged. The combination of these issues means that I'm looking for help with length and volume that won't rub off on my hooded lids, irritate my sensitive eyes, or get smudged off by my occasional leaky tears. This stuff is fantastic. It adds beautiful, natural looking length and volume that can be layered for your desired level of drama, and builds without ANY clumping. The brush delivers perfectly to both upper and lower lids with even and smooth coverage. It stays put like nothing I've ever used before, yet washes off when I want it to. I can trust that there won't be black smudges that I need to be fixing throughout my evening, even if I see a movie that makes me cry! I've never felt safe wearing lower lid mascara before this one, and now I do, because it's that's smooth and waterproof. Total game changer.",2
"A couple of weeks ago, I noticed that my skin was looking really good - smoother than usual and glowing.  Then I realized that I had been using this product for about 10 days. \nSo needless to say, I had zero expectations and this product delivered noticeable results - call me a convert!",3
"Admittedly, I moved down from really expensive eye creams (La Mer, La Prairie, Amore Pacific) to try and save some money, and I noticed my eyes looking worse with this product. I really appreciate that my eyes feels hydrated even after several hours, but the brightness around my eyes, dark circles and fine lines increased with this eye cream.",4
"Adorable packaging, but the moisturizer is just OK. You have to love banana scent bc it’s a little strong. The moisturizer is light and not oily so it would be good to try in the summer. This is not the moisturizer for an East Coast winter.",1
"Aether beauty is the best brand when it comes to eyeshadows that I’ve ever tried. They’re cruelty-free and only use organic, fair-trade ingredients, and there formula is top notch. I have all 4 of their palettes, but this one is my favorite. It’s VERY easy to use, blends effortlessly and lasts pretty much an entire day on my lids (about 7-8 hours without primer). Highly recommend!",0
"A forever repeat purchase! this moisturizer is in a word, luxurious. It lasts a really long time and has majorly changed my dry skin. I use it as a night cream as it is quite thick, but only a pea sized amount does the job! I'll buy it again and again",1
"A friend bought this and we used it while watching TV, and wow! My skin was super smooth and I like the results so much more than pricier products I own.\n\nSo I had to buy my own bottle and it's amazing price.",2
"A friend of mine recommended this face mask to me, saying it is her absolute favorite. However the first time I used it it made my face so red and made me break out more. I figured I'd try it again, but it hurt just as badly the second and third time around. I do have slightly sensitive skin, so I absolutely would not reccomend if you have that.",0
"After coveting this Diorskin Nude Luminizer Shimmering Glow Powder for the past few years, I finally got it in Pink Glow with a gift card. While it doesn't impart a blinding highlight, it still provides a very pretty and unique iridescent pink, glowy, sheen. Well worth the wait!\nPS I might ask for the 01 Nude Glow as a holiday gift! I've been admiring that shade for quite some time as well.",0
"After decades (yes, plural) of cutting all my cuticles and up the sides of the nail too, I decided to watch the Deborah Lippmann education video and buy the kit. \n\nAfter 3 weeks of using the kit (and the end of another Great Canadian Winter) I see a lot of improvement. I am now on the path to improving my nail health.",3
after eyeing this palette for a year I finally decided to purchase and it was surprising to see that natasha denona lives up to the hype! the perfect blend of cool and warm tones to create a variety of looks and finishes. you can truly create so much and you get so much product which is great for mua's love the versatility and buttery and pigmented formula. no fallout no problems. you will not regret this!,0
"After falling deeply in love with Farsali Skin Tune primer, I thought ""this is perfect, search over"". So I purchased 3 bottles of the magical stuff, cursing briefly at the price for the tiny bottle and the deeply annoying dropper that clogged damn near constantly. Fast forward to shortly after this Dior primer released. I kept finding myself checking out the reviews as I became more frustrated with Farsali's dropper system every morning. One reviewer spoke directly to me, I swear: ""if you love Skin Tune but the dropper drives you crazy, this is for you."" So I had to buy this primer...she said so lol. I placed my order, familiar with Sephora's return policy. I tried it and now I'm forever grateful to that reviewer! It really IS like my (former) HG primer...without the hassle and with an easier- to -stomach price tag.  There's a few slight differences: Dior has a slightly pink opalescent cream color to it while Farsali is opaque white. There's no discernable difference in consistency, both are a thick-ish fluid. The Dior is in a 50ml squeeze bottle while Skin Tune is in the aforementioned dropper bottle and houses 30ml. They both smooth over fine lines, wrinkles and pores like a dream. The effect lasts as long as my makeup is on too. I'm truly impressed by both primers. Here's why I'm going to repurchase the Dior from now on: 1) no contentious, irritating dropper to deal with at 5:15 a.m. 2) almost twice the near-identical formula for about $16 less dollars and 3) even though I've not tested the Dior one for as long of a period of time, the smoothing and texture-refining effects seemed just slightly more effective. For the amount you get of this high-end, very effective product, it's actually quite a bargain (& for Dior, it's almost garage sale pricing lol). I couldn't recommend more.",3
After finding this I will never use another brush cleaner again. It smells good but the fragrance doesnt stay in your brushes to irritate your skin/eyes later on. Cleans them so quick and easy and great if you only alternate between a few brushes and need a quick clean before using it again right away. GET THIS.,0
After hearing all the crazy about Brazillian Bum Bum cream I finally purchased my first jar a little over a month ago.  I recieved so many compliments from men (young and old) and decided to purchase another jar along with the spray.  The scent is AWESOME and the moisturizing is great.  I will not run out of this stuff... it is now a must have for me.  \n\nThe only reason why I'm giving it a 4 stars instead of 5 star is because the so called anti-cellulite and skin firming claims have not proven to be seen with my use.,3
After microneedling I was looking for something super hydrating as my skin which is normally oily became dry and had started peeling. This moisturizer was amazing kept my skin feeling so hydrated all day. Its become one of my favorites now and can't stop using it especially with winter coming up!,0
After MOH's surgery on my face the dermatologist recommended Aquaphor on the wound. That helped with the healing but I was told it would take 6 months for the scar to fade. I read some reviews of this serum and gave it a try. After only one week the scar was flatter and less red. Now after a month it is even flatter and has faded quite a bit. I just need a little concealer. I have a way to go but I am so happy I tried this product.,3
"After reading many of the reviews complaining that the color swatches of the Los Angeles shade weren't accurate to real life, and that it was more of a warm/brown nude instead of a beige pink, I knew this would be way more up my alley than I thought initially. I just love my warm brown/peachy nude shades and this one is no exception. Beautiful, creamy and comfortable formula from Bite, as always, but just be aware that this shade is not as it appears in the online swatch.",4
"After reading so many great reviews I purchased the smaller bottle to try this.  Who doesn't love a wonderfully scented face mist to give you a pick me up mid-day?  I can't figure out why people are raving about this...the scent was non-descript, almost none.  It wasn't even worth keeping, it's going back tomorrow!  Never again will I trust some of these reviewers, especially when there aren't that many!  It always makes me make a remorseful mistake making purchases.  Much better choices out there for less money!",2
"After reading the reviews I was super excited to try...needless to say it broke me out horribly,i wanted to cry, i have been having a goal to have super glass skin on my face by my birthday in December and this just took me 1000 steps back,will not be purchasing ever again.What works for some doesn't work for all.I still love Sephora thou",4
"After receiving a free sample of this, I’m obsessed and just had to order a full size tube! I have dry, very textured skin, and I’ve been struggling to find a facial cleanser that is cruelty free, doesn’t dry me out further and doesn’t smell like a perfume shop.",0
"After receiving a sample, I decided to give it a try. Wow, I am so pleased I did. I noticed that it balanced out the oil production, dehydrated & dry parts of my complexion. I used to have extremely oily acne prone skin & now I  have combination skin. I live in an arid climate, so this product is just what my skin needed. I take 2-3 drops, rub my hand together & gently press it onto my complexion after my moisturizer. I highly recommend this product.",3
"after six long weeks of the most acne I have ever had in my life, my skin is bright and glowing. each pimple that pops up now gets taken down in such a short amount of time thanks to these wipes. i dont worry about getting wrinkles as much when I feel how soft and refreshed my skin is. nothing replaces these... the redness I get sometimes is worth the benefits. wear sunscreen every day !!!",0
"After SR's Good Genes erased the little bumps on my face, I carefully moved on to A+ using the ""sandwich"" method, which means adding a thin layer of hydrating oil/moisturizer under and over the retinol. It's fantastic. I've used it for over a year now and it basically accelerates skin healing. Budding pimples, dull skin, it basically kicks my skin into action. I borrowed A+ to my mom (clear but thin skin, some wrinkles, spots from sun damage) and it evened out her hue and gave her an adorable ""plumped"" skin appearance. Love this and will continue to buy it again and again.",4
"After such great reviews, I really wanted to like this eye cream, and was VERY DISAPPOINTED. I gave it a full week of trial and error applying it morning and/or night with and without makeup, etc.\nI am over 40, and if you are in that age range, you need an eye cream that does more then brighten, but moisturizes and de-wrinkles, aka ""crepeyness"". If you are in your 20's or early 30's, moisture and wrinkles are likely not an issue for you just yet, (but brace yourself, it's coming!!), and this eye cream will perhaps make you happy with its brightening effects. But my 40  eyes were SO DRY when I used this, and after every use, I had to top with an additional eye cream to supplement the loss of moisture. ALSO, this eye cream DOES NOT BLEND WELL WITH CONCELALERS!! It piles and rolls and turned my makeup into a big mess. I looked 10 years older every time I wore this stuff. It was not pretty.\nI HIGHLY recommend the Shiseido wrinkle eye cream if you are dealing with dryness and wrinkles, cause this stuff does not address either. (*However, Shiseido just came out with an updated version of the eye cream, which I have not yet tried?) \nI did not notice a major effect in puffiness when using this either. If puffiness is your issue, use Clinique Eye bright.",2
"After trying (and not loving) the mineral sun cream by Supergoop!, I decided to give this a try. I. Love. It. The formulation reminds me of a Korean sun cream I loved, except this is half the price of that! I only wear mineral/physical sun creams, so I love that this has a velvety finish and minimal white cast. It layers very well and is easy to reapply over makeup. Definitely will be stocking up.",1
"After trying this mask at night a few times, I found its texture to be quite suitable for even more! In the afternoon, I use a tad less over my post-gym skincare routine. My cheekies go from hot, schweaty and flushed to clean, soft and happy.\n\nI received this product as a free sample.",4
"After two months of using this...the only thing that stops me from tossing this is using a moisturizer underneath it.  If I use this product on it's own followed by makeup, my concealer cracks badly. And by the end of the day my eyes feel seriously dried out. \nAlso, I dislike the cosmetic ""brightening"" aspect.",2
"After using the original version of this tinted moisturizer for over 10 years, I am devastated that Laura Mercier has replaced it with this new formula. I wanted to like it, but unfortunately it is nothing in comparison. I purchased my usual color, Blush, but the color is much darker than it was before and doesn't match my skin at all. It is also harder to work with –  the old version blended effortlessly into my skin, but I have to work a lot harder to get this to blend in, and it still tends to look patchy. It also has a strange smell that the original product never had. Thankfully I have some of the old version left, but when that is gone I’ll be looking elsewhere for a tinted moisturizer.",0
after using this 1 time tones of product clumps on brush and then gushes out of the top. I thought I got a bad batch so I exchanged it and the exact same thing happened. the girl at saphora said this has happened to alot of customers she has dealt with. I did try the mini and that one did the exact same thing.  definitely a waste of $$$,1
After using this product my skin feels and looks younger! I didnt really have noticeable wrinkles before but after using it I felt some how I my skin looked more youthful and healthy. It absorbs quickly into the skin without feeling oily and sticky. I let it sit for a minute before applying moisturizer and there is no chemical reaction using another product with it.,1
"After years of little to no breakouts, my skin started breaking out again. I tried a small sample of this product and noticed a difference on the size of the cystic pimples, immediately. Now, I use the oil every day and night along my jawline as a preventive measure.",3
"After years of searching, I have FINALLY found my Holy Grail foundation!! The color is perfect, the foundation applies smoothly and doesn't accentuate my pores or any fine lines. The finish is very natural in any lighting. This evens out my skin tone without looking masky or cakey...for me, this truly IS ""my skin but better ""!!",3
"A good basic eye cream without being too expensive. However, I wish i could find one that was just a bit more moisturizing and trust me I've tried several. Oh, well this is still pretty good but i'm still looking for the perfect one.",3
A great addition to the foundation. I believe the foundation is medium coverage and this powder is the perfect addition for the right coverage. Setting spray is a must or else transfer is guaranteed. Can be used alone for light coverage.,4
"A GREAT mask!! Leaves skin so refreshed, tightens pores, and hydrates, which most mud masks do not. A little goes a long way too!! Just got the large size so, Ill definitely be using it more ( moore) often! Its both hydrating and detoxifying!! like 2 masks in 1. And I do like my Glam Glow, but this is my holy grail mask! If I could only use 1, this would be it.",2
"A great set for the money with all my favorites. For essentially the cost of SuperMud, you get other products to try.   \nSuperMud is my go to as I have always had an issue with blackheads.  SuperMud is my holy Grail.  \nWARNING: if you have sensitive, be careful.  As it brings your blemishes up from the skin, you may also think it is causing breakout; but it's really clearing your skin.",4
a great substitute to the tarte drops I previously loved but with added bonus of spf. when applying the right amount it blends right in with foundation and doesn't take long to dry and set. gives just the right amount of sheen for that dewy look. I set with Becca's cooling translucent powder and works great.,1
"Agree with lots of reviewers. Does it taste good? No. No, it does not. It's the nastiest of the dusts, and the easiest way to deal with it is by covering it up with strong flavors like cloves or peppermint oil. Does it do what the label says? Yep. Yes it does. Middle-aged ladies should definitely consider this one if life is getting boring.",2
"ahhh I'm so glad I have this! I swatched it at Sephora and loved it but didn't buy it at the time. I'm so glad it was in the next big thing Sephora set! I'll probably only use them on my eyes or the highlighter on my cheeks for special occasions but this little duo makes me so so happy. I absolutely love glitter and these would make great shadow toppers. seriously in love, I have it swatched on my hand right now and can't stop staring at it. the glitters in the highlighter are fine and catch the light beautifully!! it will have fallout if you don't use glitter glue, which I personally don't mind!",0
"A+ lancome! i cannot go without this serum, its amazing ive seen a slight change in my wrinkles they are softening which maked me so happy! but it's making my face smoother, with a radiant look! it is priced high, i wish they would make smaller bottles. i love the packaging, but you have to be easy or it shots out of the applicator.",4
"A little DEFINITELY goes a long way with this product. It's nice for when yu want to look a bit more awake. However I can't say I've noticed any long term difference but to tell the truth I haven't used it consistently. It's a little thick and a bit difficult for me to get the right amount of product on my finger without going overboard or not putting enough and having to reapply. I will say that considering how little os needed, The Pearl will last a VERY long time. All things considered, I don't dislike it, but I wouldn't purchase it again once I am finished.",0
"A little goes a long way with this foundation. The foundation sets matte but has a satin look almost. I have combination skin and with this foundation I don't need to set it. love it, works great for me and gives me a good medium to full coverage.",4
"a little goes a long way with this product. Helps keeps skin moisturize and keeps makeup in place. However, if your like me and not big into makeup products with fragrance. The smell can be overwhelming.",1
"A little smaller than I thought, but great for travel! I feel like this blush tone works for almost any look, so having the shimmer and matte option work perfect if you are trying to pack light. Gives a natural flush, and is easy to build-up to desired pigment.",0
"All 3 products work well. Photo finishing particularly! Once you get this, you will see what i mean. Simply give it a try, or give it as a xmas gift. Your friend will love it. There are many other brands, none of them is as good as Smashbox.",4
"All of these pull SO red. Despite Rosewood being the second lightest, it belonged to someone wanting a different bronzed look than I. I think Saddle is an appropriate match for me, but I didn't much like the formula either.",0
Alright I'm going to sound corny probably but this is one of my favorite concealers I've ever had! It's by far my favorite product from this line. super creamy formula that blends out amazing I dont have to sit there blending for hours(if you catch my drift) last all day and I'm a girl who works 9-5. Wont crease as long as you set it and has minimal oil that breaks through. also it's not super cakey so I really appreciate that my skin still feels like it can breath. only down fall I can find it you get .19 fl.oz of product....,1
"Although I am a little tired of Mascara being the go to when it seems another sample is needed, it could be worse, Sephora could be sending a makeup brush,  which I am thankful Sephora does not waste my money on. This mascara is decent, not as good as some in the past, but at least I am finding out what brands I like and don't like so that I never pay full price to find out.",4
"Although I try other primers every year or so, Instant Smooth is what I always come back to. As the name suggests, it goes smoothly on the skin, moisturizing and preparing skin for make up. I've tried lot of others but nothing is better and few come even close.",4
"Although the color is great, I absolutely hate the tip on this product. It doesn't allow for very precise application, especially for cat-eye. Not sharp enough and for some reason very soft and dries out too fast. Maybe it's just a matter of personal preference, but I sure won't be buying again. Wouldn't recommend either!",1
"Although the shade was a little light for me, once I blended it out and added of the rest of my makeup it looked flawless. This foundation is truly traceless a blends in seamlessly with your skin and lasts all day. The finish leaves this beautiful natural skin glowy look.  It's honestly an amazing foundation  And I highly recommended if you could afford the price tag, or if you're in the mood to splurge.",4
"Always thrilled to see new Bite product. Glitter, even shimmer is not my thing, but had to take a shot on Violet Icing. Quite different than the photos look to me. Can be applied in light thin sheer layers alone or over lipstick such as neutral-ish Pastille vastly improved by the cooling from a sheer layer of this. Shimmer is subtle and beautiful. I actually love it. Just bought another Violet. May try Grape. Purple shades not often available at Sephora for some reason, necessary neutral for my skintone!",2
"Always wanted to try Artis brushes, but was waiting for them to do a limited edition version in pink or rose gold (fyi, these perfectly match my rose gold simplehuman sensor mirror), so I ordered this set directly from Artis as soon as they came out. \n\nUnlike the knock off versions offered by other companies, these brushes are top quality with thick, even bristles and metal handles that give them a nice heft when applying product. If you're older or suffer from dexterity problems, these brushes might be a great option for applying BB cream, concealer and a little cream blush to your face.\n\nIMO, the Artis brush design is ideal for applying base makeup, so the brushes in this set are the ones I would recommend to anyone who wants to try them. All and all, I'm very pleased with the set, but wish they had included a 1R for spot concealing.",3
"AMAAAAAZING. I've tried many,and I mean MANY primers for my skin which is oily in my t zone but dry on other areas. Most primer tend to break me out and not work with my skin making it slosh around and the oils will seep through within an hour. I was skeptical on the primer due to the consistency of it,but I'm truly blown away! I'm trying to convert to clean makeup,which this is my first step\n So far I'm highly impressed at how matte,but healthy/glowy my skin looks with this primer under my makeup. I've never received compliments on my skin/face makeup until I wore this. It is truly everything I could hope it would be and I recommend this to the fullest!",4
Amazed at how well this works! I have large pores and combo/oily skin that can be sensitive and this REALLY CLEANS YOUR PORES!! It definitely does bring up the blackheads though so first couple uses I had to squeeze some out gently and actually followed up with a biore pore strip on my nose and I swear after 2 uses my blackheads were almost gone. Truly impressive mask! I rub it on and rub it off during rinsing and haven't gotten red or irritated either. I only use it 1-2 times a week but seriously best pore/blackhead mask i've ever used and its well priced.,0
Amazing. Been using for a week and they have kept my skin clear and are fading my acne scars. I copied what another person did by using these on the bikini line and OMG no more razor bumps or ingrown hairs! AMAZING.,0
"Amazing. Bought this for my daughter who was out of another brand, which was not available.  Since using this cream, she reports her acne  has significantly improved. She wants to permanently switch.  well worth the money.",3
amazing coverage! especially for feeling so light-weight on the face. I am very surprised by the bad reviews for this foundation. I wonder if people are using too much product. you do not need a lot of product at all and you still get crazy good coverage. I can even use without concealer and I have very dark circles under my eyes. I recommend using fingers to apply and waiting a couple of minutes for the foundation to dry before adding any other product or setting with powder. I use the hourglass primer serum and setting powder. also it is hard for me to find a match for my skin tone and natural Amber blends perfectly!,4
